Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
perkHeavyArmorRank1LongDesc,,,,,"Craft quality 2 heavy armor. Reduce heavy armor movement and stamina penalty by 5%. Improve durability by 50%.","Crea armaduras pesadas de calidad 2. Reduce la penalización por movimiento de armadura pesada y la penalización de resistencia en un 5%. Mejora la durabilidad en un 50%.",,
perkHeavyArmorRank5Desc,,,,,"Extra heavy armor","Armadura pesada extra",,
perkHeavyArmorRank5LongDesc,,,,,"Craft quality 6 heavy armor. Reduce heavy armor movement and stamina penalty by 35%. Improve durability by 250%.","Crea armaduras pesadas de calidad 6. Reduce la penalización por movimiento de armadura pesada y la penalización de resistencia en un 35%. Mejora la durabilidad en un 250 %.",,
perkMasterChefRank1LongDesc,,,,,"Cook 15% faster.","Cocina un 15% más rápido.",,
perkMasterChefRank2LongDesc,,,,,"Cook 30% faster.","Cocina un 30% más rápido.",,
perkMasterChefRank3LongDesc,,,,,"Cook 50% faster. Use 20% less of a recipe's main ingredients.","Cocina un 50% más rápido. Usa un 20 % menos de los ingredientes principales de una receta.",,
perkMiner69rRank1LongDesc,,,,,"Craft quality 2 tools. Increase tool damage by 10% and block damage by 30% with any axe, pick, shovel, chainsaw or auger.","Crea herramientas de calidad 2. Aumenta el daño de la herramienta en un 10% y el daño en bloque en un 30 % con cualquier hacha, pico, pala, motosierras o barrena.",,
perkMiner69rRank5LongDesc,,,,,"Craft quality 6 tools. Increase tool damage by 50% and block damage by 150% with any axe, pick, shovel, chainsaw or auger.","Crea herramientas de calidad 6. Aumenta el daño en un 50% y el daño en bloque en un 150% con cualquier hacha, pico, pala, motosierras o barrena.",,
perkBrawlerRank1LongDesc,,,,,"Craft quality 2 knuckled weapons and deal 10% more damage with fists. Punches to the head negate infection ability.","Crea armas de nudillos de calidad 2 e inflige un 10% más de daño con los puños. Los golpes en la cabeza niegan la capacidad de infección.",,
perkBrawlerRank5LongDesc,,,,,"Craft quality 6 knuckled weapons and deal 50% more damage and have a higher chance to explode heads with punches.","Crea armas de nudillos de calidad 6 e inflige un 50% más de daño y tendrás posibilidades más altas de hacer explotar cabezas con tus puñetazos.",,
perkMachineGunnerRank1LongDesc,,,,,"Craft quality 2 machine guns. Deal 10% more damage, 5% faster fire rate and 10% faster reload.","Crea ametralladoras de calidad 2. Inflige un 10% más de daño, un 5% más de velocidad de disparo y un 10% más de recarga con armas cortas.",,
perkMachineGunnerRank5LongDesc,,,,,"Craft quality 6 machine guns. Deal 50% more damage, 25% faster fire rate and reload 30% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 6 stamina.","Crea ametralladoras de calidad 2. Inflige un 50% más de daño, con un 25% más de velocidad de disparo y recarga un 30% más rápida. Comando Adrenalina: Cada tiro marcado con armas automáticas te da 6 de resistencia.",,
perkLivingOffTheLandRank1LongDesc,,,,,"100% more harvest of wild or planted crops.","Cosecha un 100% mas de los cultivos silvestres o plantados.",,
perkLivingOffTheLandRank2LongDesc,,,,,"200% more harvest of wild or planted crops.","Cosecha un 200% mas de los cultivos silvestres o plantados.",,
perkLivingOffTheLandRank3LongDesc,,,,,"300% more harvest of wild or planted crops.","Cosecha un 300% mas de los cultivos silvestres o plantados.",,
perkArcheryRank1LongDesc,,,,,"Craft quality 2 bows. Deal 10% more damage, 10% faster aim, draw and reload with bows.","Crea arcos de calidad 2. Infligen un 10% más de daño, un 10% más de velocidad de puntería, tiro y recarga con arcos.",,
perkArcheryRank5LongDesc,,,,,"Craft quality 6 bows. Deal 50% more damage, 50% faster aim, draw and reload with bows.","Crea arcos de calidad 6. Inflige un 50% más de daño, un 50% más rápido, apunta, desenfunda y recarga con arcos.",,
perkGunslingerRank1LongDesc,,,,,"Craft quality 2 handguns. Deal 10% more damage, 5% faster fire rate, and 10% faster reload with handguns.","Crea armas cortas de calidad 2. Infligen un 10% más de daño, un 5% más de velocidad de disparo y un 10% más de velocidad de recarga con armas cortas.",,
perkGunslingerRank5LongDesc,,,,,"Craft quality 6 handguns. Deal 50% more damage, 25% faster fire rate, and 30% faster reload with handguns. Critical Damage: 3 successive hits in a short time cause the last shot to do 100% extra damage.","Crea armas cortas de calidad 6. Inflige un 50% más de daño, un 25% más de velocidad de disparo y un 30% más de recarga con armas cortas. Daños críticos: 3 impactos sucesivos en poco tiempo hacen que el último tiro inflija un 100% de daño extra.",,
perkDeepCutsRank1LongDesc,,,,,"Craft quality 2 knives. Deal 10% more damage. You can inflict up to 3 Bleeding Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on bleeding. Enemies run 10% slower while bleeding.","Crea cuchillos de calidad 2. Inflige un 10% más de daño. Puedes infligir hasta 3 heridas con sangrado a un enemigo y un ataque poderoso inflige 2. Cada ataque renueve la duración del sangrado. Los enemigos corren un 10% más despacio mientras sangran.",,
perkDeepCutsRank5LongDesc,,,,,"Craft quality 6 knives. Deal 50% more damage. You can inflict up to 7 Bleeding Wounds on an enemy and a power attack inflicts 5. All glancing blows cause 1 Bleeding Wound. Enemies run 20% slower while bleeding.","Crea cuchillos de calidad 6. Inflige un 50% más de daño. Puedes infligir hasta 7 heridas con sangrado a un enemigo y un ataque poderoso inflige 5. Todos los golpes de refilón causan 1 herida con sangrado. Los enemigos corren un 20% más despacio mientras sangran.",,
perkLightArmorRank1LongDesc,,,,,"Craft quality 2 light armor. Reduce light armor movement penalty by 15% and stamina penalty by 10%. Improve durability by 50%.","Crea armadura ligera de calidad 2. Reduce la penalización por movimiento de la armadura ligera un 15% y la penalización por resistencia un 10%. Mejora la durabilidad en un 50%.",,
perkLightArmorRank5Desc,,,,,"Extra light armor","Armadura ligera extra",,
perkLightArmorRank5LongDesc,,,,,"Craft quality 6 light armor. Reduce light armor movement penalty by 100% and stamina penalty by 75%. Improve durability by 250%.","Crea armadura ligera de calidad 6. Reduce la penalización por movimiento de la armadura ligera un 100% y la penalización por resistencia un 75%. Mejora la durabilidad en un 250%.",,
perkTurretsRank1LongDesc,,,,,"Craft quality 2 robots. Deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Robot active range is increased from 10 to 14 meters.\nYou can deploy multiple robots but only the closest will be active.","Crea robots de calidad 2. Inflige un 10% más de daño, aumenta la velocidad de disparo en un 30% y recarga 10 rondas de balas adicionales. El alcance activo de los robots incrementa de 10 a 14 metros.\nPuedes desplegar varios robots, pero solo los más cercanos estarán activas.",,
perkTurretsRank5LongDesc,,,,,"Craft quality 6 robots. Deal 0% more damage,reload robot weapons 20% faster and reload an extra 50 rounds. Robot active range is 20 meters.\nTwo deployed robots can be active at once.","Crea robots de calidad 6. Inflige un 10% más de daño, recarga las armas robóticas un 20% más rápido y recarga 50 rondas de balas adicionales. El alcance activo de los robots es de 20 metros.\nDos robots desplegados pueden estar activos al mismo tiempo.",,
perkPhysicianRank1LongDesc,,,,,"Medical healing items heal 25% more health over time. Gain 40% more XP using bandages, first aid bandages, first aid kits and splints. Craft items 20% faster at chemistry stations.","Los artículos de curación curan un 25% más de salud con el tiempo. Obtienes un 40% más de EXP usando vendajes, vendajes de primeros auxilios, botiquines de primeros auxilios y tablillas. Fabrica objetos un 20% más rápido en las estaciones de química.",,
perkPhysicianRank2LongDesc,,,,,"Gain 60% more XP using bandages, first aid bandages, first aid kits and splints. Craft items 40% faster at chemistry stations.","Obtienes un 60% más de EXP usando vendas, vendas de primeros auxilios, botiquines de primeros auxilios y tablillas. Fabrica objetos un 40% más rápido en las estaciones de química.",,
perkPhysicianRank3LongDesc,,,,,"Medical healing items heal 55% more health over time. Gain 80% more XP using bandages, first aid bandages, first aid kits and splints. Craft items 60% faster at chemistry stations.","Los artículos de curación curan un 55% más de salud con el tiempo. Obtienes un 80% más de EXP usando vendajes, vendajes de primeros auxilios, botiquines de primeros auxilios y tablillas. Fabrica objetos un 60% más rápido en las estaciones de química.",,
perkPhysicianRank4LongDesc,,,,,"Medical healing items heal 75% more health over time. Gain 100% more XP using bandages, first aid bandages, first aid kits and splints. Craft items 90% faster at chemistry stations.","Los artículos de curación curan un 75% más de salud con el tiempo. Obtienes un 100% más de EXP usando vendajes, vendajes de primeros auxilios, botiquines de primeros auxilios y tablillas. Fabrica objetos un 85% más rápido en las estaciones de química.",,
perkAdvancedEngineeringRank1LongDesc,,,,,"Craft quality 1 battery. Craft forge items with them 20% faster. Craft glue cheaper.\nGain 10% XP from electrical trap kills.","Fabrica baterias de calidad 1. Fabrica objetos en la forja un 20 % más rápido. Fabrica pegamento más barato.\nGana un 10% de EXP con las muertes de las trampas eléctricas.",,
perkAdvancedEngineeringRank2LongDesc,,,,,"Craft quality 2 battery. Craft workbenches and cement mixers items with them 20% faster.\nGain 20% XP from electrical trap kills.","Fabrica baterias de calidad 2. Fabrica objetos en bancos de trabajo y hormigoneras un 20 % más rápido.\nGana un 20% de EXP con las muertes de las trampas eléctricas.",,
perkAdvancedEngineeringRank3LongDesc,,,,,"Craft quality 3 battery. All forge recipes cost 10% less, crafting Forged Steel and electrical devices costs 15% less.\nGain 40% XP from electrical trap kills.","Fabrica baterias de calidad 3. Todas las recetas de forja cuestan un 10 % menos, la elaboración de acero forjado y los dispositivos eléctricos cuestan un 15 % menos.\nGana un 40% de EXP con las muertes de las trampas eléctricas.",,
perkAdvancedEngineeringRank4LongDesc,,,,,"Craft quality 4 battery. All forge recipes cost 15% less, crafting Forged Steel and electrical devices costs 25% less.\nGain 60% XP from electrical trap kills.","Fabrica baterias de calidad 4. Todas las recetas de forja cuestan un 15 % menos, la elaboración de acero forjado y los dispositivos eléctricos cuestan un 25 % menos.\nGana un 60% de EXP con las muertes de las trampas eléctricas.",,
perkAdvancedEngineeringRank5LongDesc,,,,,"Craft quality 5 battery. All forge recipes cost 20% less, crafting Forged Steel and electrical devices costs 35% less.\nGain 80% XP from electrical trap kills.","Fabrica baterias de calidad 5. Todas las recetas de forja cuestan un 20 % menos, la elaboración de acero forjado y los dispositivos eléctricos cuestan un 35 % menos.\nGana un 80% de EXP con las muertes de las trampas eléctricas.",,
perkElectrocutionerRank1LongDesc,,,,,"Craft quality 2 stun batons. Deal 10% more damage and stun victims 20% longer.","Crea porras de aturdimiento de calidad 2. Infligen un 10% más de daño y aturden a las víctimas un 20% más tiempo.",,
perkElectrocutionerRank5LongDesc,,,,,"Craft quality 6 stun batons. Deal 50% more damage and stun victims 100% longer.","Crea porras de aturdimiento de calidad 6. Inflige un 50 % más de daño y aturde a las víctimas un 100 % más de tiempo.",,
perkPackMuleRank1LongDesc,,,,,"Carry 4 more items without being encumbered.","Lleva 4 artículos más sin sobrecargarte.",,
perkPackMuleRank2LongDesc,,,,,"Carry 6 more items without being encumbered.","Lleva 6 artículos más sin sobrecargarte.",,
perkPackMuleRank3LongDesc,,,,,"Carry 8 more items without being encumbered.","Lleva 8 artículos más sin sobrecargarte.",,
perkPackMuleRank4LongDesc,,,,,"Carry 12 more items without being encumbered.","Lleva 12 artículos más sin sobrecargarte.",,
perkPackMuleRank5LongDesc,,,,,"Carry 18 more items without being encumbered.","Lleva 18 artículos más sin sobrecargarte.",,
attTongoTier2Desc,,,,,"Complete to get Tier 2 items","Completa para acceder a objetos Tier 2",,
attTongoTier3Desc,,,,,"Complete to get Tier 3 items","Completa para acceder a objetos Tier 3",,
attTongoTier4Desc,,,,,"Complete to get Tier 4 items","Completa para acceder a objetos Tier 4",,
attTongoTier5Desc,,,,,"Complete to get Tier 5 items","Completa para acceder a objetos Tier 5",,
attTongoTier6Desc,,,,,"Complete to get Tier 6 items","Completa para acceder a objetos Tier 6",,
attTongoTier0LongDesc,,,,,"Different skills unlocked per level, complete them to access same Tier.","Completando el Tier se accede a armas, armaduras y herramientas del tier correspondiente.\nDiferentes habilidades se desbloquean por nivel Tongo.",,
name,,,,,"English","Spanish",,


